#{"t_start": 1519520023.2295725, "env_id": "KangarooNoFrameskip-v0"}
r,l,t
0.0,279,2.686071
0.0,598,5.045582
0.0,427,6.775824
0.0,658,9.663455
200.0,730,12.659214
0.0,490,14.701639
0.0,496,16.779877
0.0,430,18.501625
0.0,499,20.643285
200.0,688,23.617956
0.0,641,26.344313
0.0,549,28.55151
0.0,344,30.020333
0.0,475,32.062414
0.0,407,33.728973
0.0,609,36.265702
0.0,671,39.269867
0.0,475,41.128087
0.0,429,43.131439
0.0,646,46.139354
0.0,400,47.908481
0.0,486,49.977119
0.0,493,52.139136
0.0,491,54.440639
0.0,479,56.468808
200.0,500,58.363538
200.0,602,60.870127
0.0,543,63.100963
0.0,359,64.577699
0.0,424,66.299633
0.0,472,68.304696
200.0,405,69.919528
0.0,347,71.381024
400.0,535,73.557323
0.0,473,75.361069
0.0,468,77.348875
200.0,508,79.636362
0.0,401,81.324512
200.0,481,83.513295
0.0,404,85.241836
200.0,530,87.543352
200.0,421,89.411506
0.0,559,91.654257
0.0,618,94.288104
200.0,422,96.061347
0.0,541,98.587252
0.0,472,100.397904
0.0,347,101.867368
0.0,488,103.91474
0.0,276,105.022819
0.0,533,107.258295
0.0,287,108.37883
0.0,416,110.101051
0.0,547,112.415586
0.0,471,114.512313
0.0,470,116.713685
0.0,278,117.978549
0.0,279,119.159598
200.0,414,120.842279
0.0,381,122.483158
0.0,406,124.143041
0.0,363,125.711544
0.0,286,126.838516
0.0,344,128.297347
0.0,470,130.074851
0.0,335,131.515457
0.0,537,133.679132
0.0,548,135.869489
0.0,414,137.524703
0.0,428,139.480911
0.0,483,141.337544
0.0,287,142.473983
0.0,532,144.799345
0.0,419,146.446315
0.0,420,148.168449
0.0,532,150.304946
400.0,532,152.417839
0.0,351,153.876561
200.0,530,156.009544
0.0,278,157.097334
0.0,279,158.200117
0.0,274,159.339103
0.0,336,161.172697
200.0,595,163.939914
0.0,589,166.565962
0.0,475,168.698938
200.0,466,170.573785
200.0,471,172.629856
0.0,343,173.89835
200.0,344,175.467826
200.0,413,177.232604
200.0,346,178.734373
0.0,404,180.353842
0.0,412,182.136447
0.0,612,184.732805
0.0,290,185.874773
200.0,408,187.488626
0.0,470,189.456018
0.0,405,191.086271
0.0,402,192.788587
0.0,274,193.911504
0.0,281,195.046146
0.0,364,196.578548
200.0,414,198.204313
0.0,536,200.456335
0.0,277,201.690722
0.0,409,203.531705
0.0,428,205.426366
400.0,474,207.223713
200.0,408,208.852038
0.0,280,210.163751
0.0,278,211.302346
0.0,534,213.452978
0.0,459,215.322263
200.0,470,217.288349
0.0,288,218.428241
0.0,335,219.868427
0.0,341,221.127594
0.0,334,222.60201
0.0,598,225.018315
0.0,412,226.89584
200.0,425,228.63124
0.0,276,229.730689
0.0,548,231.907726
0.0,279,233.031229
0.0,276,234.116162
0.0,294,235.420394
200.0,463,237.165435
0.0,338,238.587087
200.0,399,240.1597
0.0,536,242.291909
200.0,472,244.276867
0.0,334,245.585436
0.0,280,246.679102
0.0,341,248.18007
0.0,335,249.418145
0.0,274,250.488324
0.0,277,251.793356
200.0,397,253.369564
200.0,465,255.126683
400.0,409,256.728717
200.0,403,258.327977
0.0,277,259.579799
200.0,404,261.388955
200.0,460,263.13756
0.0,402,264.779169
0.0,468,266.751842
0.0,399,268.338956
200.0,461,270.081022
200.0,465,272.036018
0.0,400,273.640433
0.0,341,275.0813
0.0,282,276.25656
0.0,471,278.021295
0.0,277,279.097317
200.0,398,280.676592
0.0,268,281.944437
0.0,407,283.557936
0.0,464,285.325191
200.0,345,286.773098
0.0,406,288.389722
0.0,273,289.561964
0.0,339,291.034518
0.0,591,293.429195
0.0,461,295.385197
0.0,338,296.636813
200.0,342,298.097415
0.0,397,299.701583
0.0,461,301.453618
0.0,409,303.261016
0.0,399,304.901675
0.0,530,307.093838
0.0,342,308.341018
0.0,277,309.434448
0.0,286,310.724921
0.0,336,311.980188
0.0,402,313.629204
0.0,278,314.739033
0.0,461,316.67801
200.0,398,318.266392
0.0,467,320.272067
0.0,334,321.531759
0.0,401,323.112494
0.0,281,324.228683
0.0,279,325.315453
0.0,272,326.391873
0.0,401,328.163028
0.0,404,329.794297
0.0,338,331.036023
200.0,404,332.636304
